learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
2000.0,0.280846,0.156472,6390.919781174906,0.091837,10888.85743218964,1.0243603125628497E-8,1000.0,87.0,71.30306174256638,72.57383966244726,65.05376344086021,85.9521426878836,81.1046511627907,90.09146341463415,87.42440041710114,88.57142857142857,86.27737226277372,84.52865040984132,74.79892761394102,94.25837320574163,0.0,159464.0,10.0,1504.5,700.7428201558686,1888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.372531,0.007896,126646.40324214792,0.06191,16152.479405588758,1.3260010983794927E-8,2000.0,87.6,72.29629116597984,73.53255069370331,65.45961002785515,86.34384993965158,81.57503714710252,90.65561416729464,87.58908129092512,87.5598086124402,87.61835396941005,85.13352854765108,76.35605006954103,93.91100702576112,0.0,167032.0,10.0,2018.0,998.6626056882275,1888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.470021,0.009704,103050.2885408079,0.069269,14436.472303627887,1.695006297694312E-8,3000.0,87.86666666666667,73.08428906290439,74.05559515324306,66.90909090909092,86.79153522654836,82.20918866080157,90.79413252402631,88.17132043409416,88.99470899470899,87.34793187347933,85.45426891824607,76.38510445049954,94.52343338599263,0.0,180616.0,10.0,2522.5,1313.5340371176785,2828.0,1880.0000000000002,2.0,2.0,1.5,1.0,1.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.599441,0.005905,169348.01016088063,0.097949,10209.394684989127,2.2167654587990707E-8,4000.0,88.125,73.47776319830257,74.0861974904528,66.87587168758716,86.91838751091984,82.3747680890538,91.04618284637134,88.11696211331248,88.09523809523809,88.13868613138686,85.75198157996617,77.35191637630662,94.15204678362574,0.0,194200.0,10.0,2995.8,1595.3780743134212,3392.0,2059.4368162194246,2.6,2.1908902300206643,1.8,1.0954451150103321,1.8,1.0954451150103321,0.8,1.0954451150103321,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.680215,0.004798,208420.17507294705,0.051509,19414.08297579064,2.521616543746657E-8,5000.0,88.06,73.48632213985367,74.30047352561344,67.07115278543851,86.9208796117157,82.48753300088003,90.94219390077379,88.08404568240509,88.15047021943573,88.01762114537445,85.7880328144563,77.50826901874312,94.0677966101695,0.0,209280.0,10.0,3492.666666666667,1853.9943545401284,4013.333333333333,2412.3769744106467,3.333333333333333,2.6583202716502514,2.1666666666666665,1.3291601358251257,2.1666666666666665,1.3291601358251257,1.0,1.0954451150103321,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.756794,0.004279,233699.46249123628,0.057946,17257.44658820281,2.876292890765601E-8,6000.0,88.06666666666668,73.55669798499085,74.38282647584974,67.26108824874258,86.9625596789107,82.57059396299903,90.92752154080081,88.13725490196079,88.33333333333333,87.94117647058823,85.81876533452524,77.51371115173674,94.12381951731375,0.0,220328.0,10.0,3977.2857142857138,2147.2532620602933,4305.142857142857,2356.704721185313,3.571428571428571,2.5071326821120348,2.2857142857142856,1.2535663410560174,2.2857142857142856,1.2535663410560174,1.142857142857143,1.0690449676496976,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.840173,0.00466,214592.27467811157,0.065224,15331.779712989082,3.310623766440485E-8,7000.0,88.2,73.80669613556806,74.71686562595654,67.4931129476584,87.08330874056576,82.70519262981576,91.04509973980919,88.25483852910669,88.40644583706356,88.10323122114981,85.94247419485438,77.69472856018884,94.19021982951996,0.0,240240.0,10.0,4474.75,2442.9494907356793,5163.0,3114.899677357202,4.499999999999999,3.33809184158512,2.7499999999999996,1.66904592079256,2.7499999999999996,1.66904592079256,1.5,1.3093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.922483,0.003046,328299.40906106366,0.064048,15613.290032475645,3.756733268706335E-8,8000.0,88.2125,73.85610042806131,74.7320471596999,67.60563380281691,87.11298755578828,82.75105176513627,91.0471850375012,88.2973661180386,88.53228962818004,88.06244260789715,85.95996181491465,77.67857142857143,94.24135220125787,0.0,257016.0,10.0,4980.222222222223,2735.9667294110955,5648.0,3117.627302934076,5.0,3.3166247903554,3.0,1.6583123951777,3.0,1.6583123951777,1.5555555555555554,1.2360330811826103,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.010319,0.005178,193124.75859405176,0.067693,14772.576189561696,4.2676768273943E-8,9000.0,88.1111111111111,73.64843565292773,74.529873839562,67.2682777607831,86.9872297678576,82.63550795196365,90.96131103226897,88.09132706714817,88.03596127247579,88.14669286182057,85.9104664008838,77.85932721712538,93.96160558464224,0.0,271032.0,10.0,5478.2,3026.5513120455175,5836.0,3127.060387435245,5.2,3.32665998663324,3.1,1.66332999331662,3.1,1.66332999331662,1.7,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.100666,0.00412,242718.44660194172,0.072281,13834.894370581482,4.807134649612837E-8,10000.0,88.22,73.90533662448028,74.7101760412194,67.58392955421023,87.11134881643257,82.81796966161026,91.0377358490566,88.19909211561043,88.14032909034462,88.25785514087625,86.05010853932754,78.10178817056396,93.99842890809113,0.0,272936.0,10.0,5688.8,3355.714323690594,6024.0,3632.5051043781527,5.4,3.8643671323171835,3.1999999999999997,1.9321835661585915,3.1999999999999997,1.9321835661585915,1.9000000000000001,1.5238839267549946,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.187986,0.004548,219876.86895338612,0.067787,14752.091108914688,5.324200506839487E-8,11000.0,88.28181818181818,74.05304312659092,74.85859176906573,67.75887943971986,87.18090146990986,82.92489071400185,91.08020206214104,88.25229227715286,88.16901408450704,88.33557046979867,86.1352122061368,78.26956739184796,94.00085702042566,0.0,276312.0,10.0,6205.7,3819.3411895537984,6212.0,3659.432864377879,5.6,3.893013685508382,3.3,1.946506842754191,3.3,1.946506842754191,1.9000000000000001,1.5238839267549946,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.272335,0.003322,301023.47983142687,0.067232,14873.86958591147,5.8218477314545045E-8,12000.0,88.28333333333333,74.02211316806336,74.87939967839915,67.69301470588236,87.1684834146621,82.87871407696055,91.09450215353434,88.25706956355748,88.18346721948691,88.33067190762806,86.10642390086986,78.17597059499197,94.03687720674775,0.0,272648.0,10.0,6088.9,3858.1903486824835,5995.2,3278.8511809270435,5.4,3.5023801430836525,3.2,1.7511900715418267,3.2,1.7511900715418267,1.7,1.3374935098492586,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.352179,0.002334,428449.01456726645,0.064023,15619.386782874904,6.303171823008193E-8,13000.0,88.3,74.04525306541142,74.89270386266095,67.69328802039082,87.17781918877974,82.88511308653088,91.11202010167709,88.26110503800552,88.15222594542843,88.36998413058264,86.12080266031329,78.21193459333192,94.02967072729466,0.0,280384.0,10.0,6706.5,4286.421487285947,6759.2,3768.1886246724844,6.2,4.022160834399561,3.6,2.0110804171997807,3.6,2.0110804171997807,1.8,1.398411797560202,0.0,0.0,0.0,0.0,1.0,0.0
