,ARF__-s_100,ARF_-m_2__-s_100,ARF_-m_3__-s_100,ARF_-m_4__-s_100,ARF_-m_5__-s_100,ARF_-m_6__-s_100,DYNSE_KNORAE_-s_100,DYNSE_KNORAU_-s_100,DYNSE_NO_SEL_-s_100,OzaBag_-s_100,ALL_BAG_INIT_KNORAE,ALL_BAG_INIT_KNORAU,ALL_BAG_INIT_NO_SEL,ALL_BAG_KNORAE,ALL_BAG_KNORAU,ALL_BAG_NO_SEL,ALL_INIT_KNORAE,ALL_INIT_KNORAU,ALL_INIT_NO_SEL,ALL_KNORAE,ALL_KNORAU,ALL_NO_SEL,_KNORAE,_KNORAU,_NO_SEL
Agrawal_-_Concept_2X_Gradual,84.76162822381028,69.50659485754339,73.77705047634488,84.2632330953248,80.48509588359241,81.09603602282156,83.52685597992381,73.7679396250409,78.94890293975874,89.96877415539998,90.59723749548242,89.93406996453798,90.15457656599236,90.33767131983399,90.3982010152485,90.64575765437561,89.12700387301103,89.02665803744979,89.37403546870443,90.89018461774063,90.94878970551113,91.02929623821501,82.96336517206558,73.53440225516718,78.02316901495453
Agrawal_-_Concept_2X_Sudden,84.38996174793401,68.8075822572592,74.03944237976653,84.59521235293228,80.41060341751378,81.12114999507027,83.12930948046045,74.44782196789333,79.07014042894976,90.61739524702065,91.36698030492308,90.55248383146635,90.99846246546541,90.64309856155869,90.74920164739915,91.06387073041624,89.70126545440804,90.03162699740221,90.14060427544155,91.05347714737485,91.1478425240113,91.76276342548555,83.01995439033671,73.892554157979,78.74789575113815
Agrawal_-_Concept_3X_Gradual,81.95988923189783,70.31767284986188,73.37080015068355,81.84975427495797,77.47825207144743,78.43269423039698,80.19050244105858,71.28863585907015,72.88179355085288,86.2503170989405,88.07907207057292,86.16345032947005,86.19592244031607,89.09964500443583,88.47185323607496,88.77397535886551,86.50990730662583,85.12816627654142,85.90901421165842,89.8637515658229,89.20275554069349,89.35714886185093,80.26164766928532,73.89063334040112,73.53991130058435
Agrawal_-_Concept_3X_Sudden,82.1737197260043,69.78341034638835,73.51212633679232,81.83038586488223,77.7903062145079,77.96454421761898,80.55443997663265,71.50081471103965,71.3174452303265,87.97568900263569,89.45724427055256,87.64404151289902,87.81552485924608,89.63128061524158,89.3958258860549,89.77054236458883,87.38598428338167,87.89442974720963,88.04980607429253,90.11305809025588,90.22788457877918,90.34731698356454,80.53059790085275,72.79682915687295,72.31355576986657
Agrawal_-_Concept_4X_Gradual,83.92065654778827,72.74304290454124,75.63056871895616,84.15470078404931,79.58859114904854,80.03056177517708,80.74528807245972,73.38303042361531,73.30347793892265,83.88013265113905,87.1570175860576,83.66704455199513,83.85973650591542,89.3190379299598,88.71172022196092,88.22216620486162,85.9719387024531,83.2875943156686,83.5398569776154,90.15741627962038,88.81089140540284,88.51275594100275,81.15058526800848,72.92773482623144,72.96026951000145
Agrawal_-_Concept_4X_Sudden,84.02393037104524,72.40140270122669,76.0911206398346,84.92526853206961,79.90460720734795,80.75050272475525,81.18469684927031,74.36405227750757,72.75294007552996,87.33690374303642,89.41707570704166,86.90985778954386,87.34884614761744,90.36953270555158,89.38837003447725,88.99589464520488,87.50959212885014,86.27275494092878,86.58935760613512,90.50661552134957,89.39356761324673,89.43754617326498,80.98939587624784,73.82831755445271,72.15649135792466
Agrawal_-_No_drift,88.5056411625609,68.5560326281873,75.14470309781397,87.3424582891746,84.93761374992164,85.77322719589598,86.666784674933,78.55574068297675,85.79259063516298,93.71571605011407,93.69066472827762,93.70864580549274,93.82110954432608,92.22575803670183,92.65862926791155,93.07112199952972,92.43113769336146,93.03864317305245,92.89875890447527,92.59963361038663,93.02741832420836,93.3136960820612,86.99997829216265,79.06573678086438,85.12918059240086
Asset_-_Concept_2X_Gradual,92.77592428496692,91.45582599668982,92.75965872140424,93.48350918283514,93.24486993537202,93.23656232781545,92.72935240818393,91.42155594009226,85.56836759689153,93.71174903720919,93.7413521249349,93.78959817647012,93.67440131232297,93.54995998789752,93.64017399370574,93.59056244397742,93.76960220873227,93.43650346754161,93.31923731835613,93.54530775534091,93.78543568189984,93.58334409120125,92.8914420040197,91.41502764595165,85.52643027309537
Asset_-_Concept_2X_Sudden,92.66728165888317,91.47189057305295,92.63657474393749,93.26741207268188,93.13607480814528,93.10706756482934,92.73591283941398,91.1439237404697,85.58934552182471,93.70424330078545,93.47158621679436,93.68599812143812,93.70049994885836,93.2407981000945,93.45112667282866,93.34804223628448,93.57122061841953,93.39854440321378,93.46572869007632,93.42807225800426,93.48518237658674,93.51282964455152,92.62474565990678,91.1342693827577,85.67613995280485
Asset_-_Concept_3X_Gradual,92.61984536824573,91.29525842318706,92.62157770160634,93.34557890060306,93.09780870214986,93.00112712587044,92.5171435413617,91.07180054457804,79.92337154072477,93.44466299573479,93.637576363573,93.46498713182115,93.40053175312595,93.54524460394101,93.56814161786117,93.36296106069429,93.69082856931198,93.21677033471117,93.2964538298278,93.6633016834395,93.57870206878725,93.39188047183981,92.52207337053542,90.94321029564642,79.59900000638376
