,ARF__-s_100,ARF_-m_2__-s_100,ARF_-m_3__-s_100,ARF_-m_4__-s_100,ARF_-m_5__-s_100,ARF_-m_6__-s_100,DYNSE_KNORAE_-s_100,DYNSE_KNORAU_-s_100,DYNSE_NO_SEL_-s_100,OzaBag_-s_100,ALL_BAG_INIT_KNORAE,ALL_BAG_INIT_KNORAU,ALL_BAG_INIT_NO_SEL,ALL_BAG_KNORAE,ALL_BAG_KNORAU,ALL_BAG_NO_SEL,ALL_INIT_KNORAE,ALL_INIT_KNORAU,ALL_INIT_NO_SEL,ALL_KNORAE,ALL_KNORAU,ALL_NO_SEL,_KNORAE,_KNORAU,_NO_SEL
Agrawal_-_Concept_2X_Gradual,0.003507164773782831,0.00021268516075949502,0.00211611289768798,0.0035747709683304776,0.0033760800934365645,0.004310561514819379,1.5362810898716038e-06,1.5320460160766865e-06,1.8569885386701458e-07,6.140191085467619e-05,0.000142918793419062,0.0001386048341129503,1.808924774659589e-05,2.9789186412832743e-05,3.0222512812273433e-05,3.730527148515701e-06,0.00012411032258897293,0.0001194514799205826,1.65530482479045e-05,2.580516471177707e-05,2.4638468915817915e-05,3.0630407719441346e-06,1.6450865475711625e-06,1.5950311566847964e-06,1.9524987303146494e-07
Agrawal_-_Concept_2X_Sudden,0.003499294413373796,0.00019342652298670466,0.002177712140584033,0.003593794141081596,0.003410785209985226,0.004276472261280174,1.5628816817327003e-06,1.5506969102391215e-06,1.8920465514534993e-07,4.81170389682274e-05,0.00010796773638538516,0.00010752378892841063,1.3587640893878204e-05,2.5244427221658323e-05,2.5479761250116272e-05,3.027598092353627e-06,9.258475938533179e-05,7.974502201940747e-05,1.0721037944395016e-05,1.7750136573815392e-05,1.7934557403940585e-05,2.3069734224665407e-06,1.6144642511029143e-06,1.5756044812839539e-06,1.984222037289311e-07
Agrawal_-_Concept_3X_Gradual,0.00300052391952105,0.0002390026428664307,0.0016998899828404178,0.003027114624110338,0.0028333423456674924,0.0037313329480264078,1.702228425626217e-06,1.697517899705062e-06,2.0232804207714104e-07,0.00010341984771774482,0.00026533713150610655,0.0002558903554914478,3.527592518754392e-05,3.897671981877039e-05,3.87782032659277e-05,5.160352222602167e-06,0.00026628718156533404,0.00024099487602533828,3.123232834319473e-05,3.772062863284217e-05,3.675673893441236e-05,4.501355482464085e-06,1.810992986330266e-06,1.914153232568092e-06,2.2144014481835466e-07
Agrawal_-_Concept_3X_Sudden,0.0029831441107016966,0.00020090374676601374,0.0016773712328435446,0.0030214335419133996,0.002859800634407798,0.003817307594452888,1.6531038790056553e-06,1.6532498222949998e-06,1.9362596771428264e-07,8.156734996922549e-05,0.0001820276018355618,0.00017133729669040315,2.3750836607904994e-05,3.238907062746277e-05,3.211817479592631e-05,3.939722917087838e-06,0.00018006856678946502,0.00013617966421025545,2.023790978800451e-05,2.7434281584441276e-05,2.6956783875675267e-05,3.580958491011557e-06,1.7443267293244425e-06,1.7355657536754134e-06,2.1279580038223e-07
Agrawal_-_Concept_4X_Gradual,0.0027820645992277402,0.00024995918531477336,0.0015229583799755012,0.002738864294172267,0.0027124148866896503,0.003795242245672717,1.790100801951255e-06,1.817263697268102e-06,2.2581535147441917e-07,0.0003052779831269429,0.0007114115166057651,0.0006917205849271684,8.998039937633748e-05,5.143948044245712e-05,5.109580118155023e-05,6.2768222045403836e-06,0.0006957204428507441,0.0005900050072439021,8.062043737397238e-05,3.78518714458038e-05,3.6545055152142215e-05,4.679302675452501e-06,1.960283119848013e-06,1.8842897693350176e-06,2.373686598111643e-07
Agrawal_-_Concept_4X_Sudden,0.00272196732260646,0.00023291741245171421,0.0014899922891629944,0.0026741641351061773,0.002669452834653459,0.0036968873195850115,1.769760458899137e-06,1.799177354580709e-06,2.156297713730995e-07,0.00015255678239829574,0.00039401556218926747,0.0003722416741424114,5.096777282255075e-05,3.8213624313798184e-05,3.650534208756836e-05,4.556267519350371e-06,0.00031632867506937887,0.00028889670018562266,3.4872870370322914e-05,2.425598731110499e-05,2.188556490771889e-05,2.9989246290782155e-06,1.8951595065358434e-06,1.892564308077581e-06,2.2246434878181767e-07
Agrawal_-_No_drift,0.004256936799913945,0.00021367958698155173,0.003017997562382166,0.004423695238363708,0.0042027026109884135,0.005229366297332332,1.4422222635237572e-06,1.4444923282031719e-06,1.7758326657843763e-07,2.1709441576569135e-05,5.565997554849363e-05,5.00731615374222e-05,6.619741204706287e-06,9.316311894871367e-06,8.637960731683304e-06,1.0247707506368092e-06,4.075754377679533e-05,3.659799248831051e-05,4.466721010453473e-06,6.838874417373057e-06,6.152084238121295e-06,7.348881830293804e-07,1.5466781372419054e-06,1.5258200172874863e-06,1.8130737558384936e-07
Asset_-_Concept_2X_Gradual,0.0007855641091000737,0.0002503057353651875,0.000797628778226234,0.0014625021363112829,0.0020713651479055874,0.0020426839237770926,1.7560463489088513e-06,1.4691017618214388e-06,1.0415738932297923e-07,1.6701516187322972e-05,0.00011778770723203844,8.062376975050558e-05,5.9548707776662775e-06,2.178632804418529e-05,1.5596040482644327e-05,1.1096606528166003e-06,0.00011612763923350937,7.492858540422119e-05,6.177540592482286e-06,2.3252375433318908e-05,1.5547639650656036e-05,1.1743660320260104e-06,1.9161887945278156e-06,1.5780180396117487e-06,1.1162281907586379e-07
Asset_-_Concept_2X_Sudden,0.0007437664050859411,0.0002492653764622072,0.0007440483807164706,0.0013695668995475738,0.0018642466244901102,0.0018886865167049832,1.762036980992227e-06,1.46281274994688e-06,1.0006284838689791e-07,1.6878745079133136e-05,0.00010993525854604724,7.927346262952567e-05,6.2447214625561684e-06,2.2568500954292515e-05,1.4718712261528664e-05,1.1044720210120992e-06,0.00011245049959405338,7.278147114450394e-05,6.007952223901114e-06,2.3040718711058742e-05,1.5033174735075445e-05,1.1013233661039254e-06,1.8842616663310173e-06,1.5553436945652393e-06,1.1241914358850711e-07
Asset_-_Concept_3X_Gradual,0.0006463790625059958,0.00019862465893989714,0.0006664060394036655,0.0012695934507749307,0.0021267149802922445,0.0021364661769425314,1.671025503977853e-06,1.4208036730523893e-06,9.311271390980194e-08,1.8836674039291515e-05,0.00012573569689325846,8.483822859546727e-05,6.346160674487159e-06,2.2173332150538406e-05,1.578116755836657e-05,1.0564734906069683e-06,0.00012871563540644873,8.615153772788842e-05,6.627398568819024e-06,2.2595507763591616e-05,1.5905597288753624e-05,1.0785165625902484e-06,1.809191265470468e-06,1.5262541384704721e-06,9.825900838786403e-08
