,ARF__-s_100,ARF_-m_2__-s_100,ARF_-m_3__-s_100,ARF_-m_4__-s_100,ARF_-m_5__-s_100,ARF_-m_6__-s_100,DYNSE_KNORAE_-s_100,DYNSE_KNORAU_-s_100,DYNSE_NO_SEL_-s_100,OzaBag_-s_100,ALL_BAG_INIT_KNORAE,ALL_BAG_INIT_KNORAU,ALL_BAG_INIT_NO_SEL,ALL_BAG_KNORAE,ALL_BAG_KNORAU,ALL_BAG_NO_SEL,ALL_INIT_KNORAE,ALL_INIT_KNORAU,ALL_INIT_NO_SEL,ALL_KNORAE,ALL_KNORAU,ALL_NO_SEL,_KNORAE,_KNORAU,_NO_SEL
Agrawal_-_Concept_2X_Gradual,916.6310322723479,154.60660047121738,629.0613910869566,932.6615959372607,831.1610432712174,929.0899293035217,22.227664182521742,21.867734941347827,3.8012448247826085,102.220715739,134.82824773121737,132.95571725399998,79.44323637269565,59.86112233356521,60.022203106869576,31.564799785695644,124.89847562360869,122.86449565191303,74.5878230088261,55.59123727734782,54.016889331478254,27.814073967130437,23.60349791947826,22.924053683608694,4.003475770565218
Agrawal_-_Concept_2X_Sudden,920.0122249834349,148.77379647908697,678.7601202321739,920.3415976947828,834.2338068033043,903.7103779607394,22.398942230521737,22.075176382565218,3.8863896692608697,89.00735395052173,117.24426702956522,118.10309744991304,69.08206895778262,56.02185426530435,56.74709455726087,28.25300545473913,106.21192312982608,99.17004490873911,57.330895763695636,46.512028353739126,47.08811690217391,24.05287004278261,23.349553161695646,22.912116227086955,4.121578128913044
Agrawal_-_Concept_3X_Gradual,679.1537220706523,156.97330355534785,478.6969611842609,671.4552795400868,622.0702960285652,699.8281777117392,24.50585278373913,24.33386423182609,4.053405836782607,144.87080428734782,195.96568467195652,191.5431942833913,122.98061274230436,71.2575257117826,70.70000763643479,39.60727246156521,200.61967052791303,186.70326685813043,122.24819883347826,73.28761817508698,72.65058124452175,40.048233230391304,26.283113807913047,27.300180971956518,4.413554735304348
Agrawal_-_Concept_3X_Sudden,663.8435556283479,139.8658033034783,487.993644039913,657.6413158286088,610.9357180668694,735.2900916561304,24.15463467573913,24.034477105652176,4.057520095999999,129.04444506582607,162.3402430835217,157.59434328873914,101.88672474730436,64.82561068804347,64.15247480373914,34.064691358739125,161.65111996826087,140.6502502572609,94.41559145752176,61.03107039013044,60.220644518739135,34.264826673,25.331708795652176,25.142412180956526,4.406408558739131
Agrawal_-_Concept_4X_Gradual,774.5907599299567,183.84792534326084,539.3042798781738,750.1930588887827,733.2629798224349,852.087553823087,25.213700480782613,25.339806747826085,4.236286758391304,296.14383278947827,345.966261718,344.2272414540001,270.08240353682606,79.77563961526087,79.94305486026087,51.137390630260875,334.5534172846087,309.59786723826085,246.40489946113038,67.64990288634783,66.21511168969568,41.96505325930435,27.03619206452174,26.400485098652172,4.4674332908695655
Agrawal_-_Concept_4X_Sudden,769.8612260153478,176.24911764156522,552.0448638217391,764.8757943339566,722.7272489524349,832.5238970755216,24.877177282434776,25.123883025739133,4.226815959608697,194.5693970922174,242.00919910726086,237.62154497634782,175.29662189173914,68.38944777526085,66.67540406791304,39.32934918643479,197.58875940886955,191.55904136017395,120.66558725321744,52.877838185,49.70223004247827,28.25832734213044,26.586151432173914,26.36955351095653,4.4068565753043485
Agrawal_-_No_drift,1212.8834601163478,161.2135173896522,1069.8199878117825,1334.7836445570435,1247.106686478174,1331.4359549066523,20.424531044913046,20.088627488782606,3.5921340703913054,48.83695806008696,70.98932436860869,66.79864046147826,36.18139683013044,32.20912808569565,30.709680733652174,14.536722676869564,60.128865122,56.64215775821738,25.24389792517391,28.099668558478264,26.202715905565217,10.77676031178261,21.609921033695652,21.242842220260872,3.7388615259130433
Asset_-_Concept_2X_Gradual,375.5673253240435,180.89111041417394,384.6945633134348,534.6370579706955,660.5104065697393,649.2580536373913,23.173822374869566,19.210251443391307,3.7836776781304344,54.8321752723913,124.29241483269563,98.48757109121739,45.25232139056521,54.83769346491305,44.862728335304354,19.69978494478261,124.45058344213045,95.00031358169565,44.88379580891304,57.872121960043465,44.86641453108696,19.679192677913043,24.685009890695657,20.843028595,4.120884013478261
Asset_-_Concept_2X_Sudden,357.41635197426086,181.82104158982608,354.0842986937391,502.1482025033042,590.7412040634782,599.1432362880435,23.102293195217396,19.34387921256522,3.7612468190434787,55.025547680608696,119.3410757027391,96.4980504617826,46.232732260304346,56.788500201260874,42.973012517826085,19.762266570173914,121.23426353052173,92.29999572086959,44.980490302652186,57.23493457047825,43.441546720217396,19.191819105695654,24.8851629286087,20.506481736434782,4.152381022608696
Asset_-_Concept_3X_Gradual,286.21999947173913,143.26605684039131,293.52565369965214,436.52762386052177,666.699590175,661.7934212957391,24.017417137130437,20.075791935173914,3.765885060434782,59.45781801326087,124.39873711186956,98.85702998052174,49.535483567260854,55.05257625030435,44.66454789991305,21.21289775878261,123.41962913408693,98.68598429747826,48.57067666586955,55.077283844956504,44.44028980952173,20.643836978173912,25.333813581000005,21.44497820604348,4.036761395347827
